name,aliases,badge,eNumber
aflatoxine,aflatoxine; aflatoxin; Aflatoxines,Carcinogenic,
alcool ethylique,alcool ethylique; ethanol boisson; alcool,Carcinogenic,
Aluminium (colorant),Aluminium (colorant); E173,Carcinogenic,E173
arsenic,arsenic,Carcinogenic,
bacon,bacon; lardons; lardon; pancetta; poitrine fumee; poitrine fumée,Carcinogenic,
benzene,benzene; benzène,Carcinogenic,
bronopol,bronopol,Carcinogenic,
cadmium,cadmium,Carcinogenic,
chorizo,chorizo,Carcinogenic,
Chrome hexavalent (Cr VI),Chrome hexavalent (Cr VI); chrome-vi,Carcinogenic,
coal tar,coal tar; goudron de houille,Carcinogenic,
Colorants azoïques textiles,Colorants azoïques textiles; azo-dyes,Carcinogenic,
diazolidinyl urea,diazolidinyl urea; diazolidinyl urée; diazolidinyl-urea,Carcinogenic,
dmdm hydantoin,dmdm hydantoin; dmdm hydantoïne; dmdm-hydantoin,Carcinogenic,
formaldehyde,formaldehyde; formaldéhyde; formalin; methylene glycol; e240,Carcinogenic,E240
Goudron de houille (coal tar),Goudron de houille (coal tar); coal-tar,Carcinogenic,
"Huile minérale (paraffinum, petrolatum)","Huile minérale (paraffinum, petrolatum); mineral-oil",Carcinogenic,
imidazolidinyl urea,imidazolidinyl urea; imidazolidinyl urée; imidazolidinyl-urea,Carcinogenic,
jambon,"jambon; jambon cuit; jambon cru; jambon sec; jambon de paris; ham; cured ham; cooked ham; prosciutto; serrano; courgette; zucchini; courgettes; courge; squash; butternut; potiron; pumpkin; citrouille; pâtisson; patisson; concombre; cucumber; cornichon; pickle; gherkin; aubergine; eggplant; brinjal; poivron; pepper; bell pepper; piment; chili; chile; jalapeno; jalapeño; habanero; poblano; piment d\; , ; , ; salade; laitue; lettuce; roquette; arugula; rocket; mache; mâche; cresson; watercress; endive; chicoree; chicorée; frisée; scarole; romaine; iceberg; pousses d\; millet; millet brun; sorgho; sorghum; teff; amarante; amaranth; fonio; kamut; khorasan; seigle; rye; farine de seigle; son d\; epeautre; flocons de sarrasin; brie; camembert; roquefort; comté; comte; gruyere; gruyère; emmental; reblochon; munster; morbier; tomme; tomme de savoie; cantal; saint-nectaire; beaufort; mimolette; maroilles; bleu; bleu d\; ambert; epoisses; époisses; crottin; chevre frais; chèvre frais; goat cheese; sainte-maure; valençay; banon; gouda; edam; maasdam; beaufort; tete de moine; tête de moine; lait d\; avoine; oat milk; lait de soja; soy milk; lait de riz; rice milk; lait de noisette; hazelnut milk; lait de coco; coconut milk; boisson vegetale; boisson végétale; plant milk; noix du bresil; noix du brésil; brazil nut; noix de pecan; noix de pécan; pecan; noix de macadamia; macadamia; pignon de pin; pine nut; pinenut; noix de pili; pili nut; chataigne; châtaigne; marron; chestnut; arachide; cacahuete; cacahuète; peanut; peanuts; beurre de cacahuete; beurre de cacahuète; peanut butter; beurre d\; cardamome; cardamom; clou de girofle; clove; cloves; noix de muscade; nutmeg; macis; mace; anis; anise; anis etoile; anis étoilé; star anise; badiane; fenugrec; fenugreek; safran; saffron; sumac; zaatar; za\; moutarde; mustard; moutarde de dijon; dijon mustard; moutarde a l\; huître; oyster sauce; sauce hoisin; hoisin; miso; pate miso; pâte miso; pate de soja fermente; natto; tempeh; harissa; sambal; sambal oelek; sriracha maison; gochujang; doubanjiang; pâte de piment; chili paste; pâte de curry; curry paste; pesto; tapenade; pâte d\; anchois; anchovy paste; pâte de tomate; concentré de tomate; eau de source; spring water; eau filtree; eau filtrée; tisane; infusion; herbal tea; thé blanc; white tea; thé oolong; oolong; thé pu-erh; pu-erh; matcha; thé matcha; maté; mate; yerba mate; yerba maté; hibiscus; karkadé; camomille; chamomile; verveine citronnelle; menthe poivrée infusion; rooibos vanille; chicory; spiruline en poudre; chlorella; klamath; maca; poudre de maca; ashwagandha; reishi; cordyceps; lion\; huile de chanvre; hemp oil; huile de pepins de courge; pumpkin seed oil; huile de germe de blé; wheat germ oil; huile d\; 고추장; pate de piment fermentee coreenne; pâte de piment fermentée coréenne; fermented chili paste",Carcinogenic,
jerky,jerky; beef jerky; boeuf seche; bœuf séché,Carcinogenic,
Mélamine,Mélamine; melamine,Carcinogenic,
Mercure / Thimérosal,Mercure / Thimérosal; mercury-thimerosal,Carcinogenic,
mortadelle,mortadelle; mortadella,Carcinogenic,
nitrate de potassium,nitrate de potassium; potassium nitrate; e252,Carcinogenic,E252
nitrite de potassium,nitrite de potassium; potassium nitrite; e249,Carcinogenic,E249
nitrosamine,nitrosamine; nitrosamines,Carcinogenic,
paraffinum liquidum,paraffinum liquidum; petrolatum; mineral oil; huile minérale; huiles minérales; mineral oils,Carcinogenic,
pastrami,pastrami; corned beef; viande des grisons; bresaola,Carcinogenic,
PFAS / PFC dans textiles,PFAS / PFC dans textiles; pfas-textile,Carcinogenic,
Plomb (acétate de plomb),Plomb (acétate de plomb); lead-acetate,Carcinogenic,
ptfe,ptfe; perfluoro; polyfluoro; pfas; teflon; PFAS / Polluants éternels,Carcinogenic,
quaternium-15,quaternium-15; quaternium 15,Carcinogenic,
salami,salami; salamis,Carcinogenic,
saucisse,saucisse; saucisses; sausage; sausages; merguez; chipolata; hot dog; hot dogs; hotdog; frankfurter; wiener,Carcinogenic,
saucisson,saucisson; saucisson sec; dry sausage; cured sausage,Carcinogenic,
viande transformee,viande transformee; viande transformée; processed meat; charcuterie industrielle; charcuterie,Carcinogenic,
acide borique,acide borique; boric acid; e284,Ultra toxic,E284
azodicarbonamide,azodicarbonamide; azodicarbonamide ada; e927a; 아조디카본아미드; E927,Ultra toxic,E927
bha,bha; butylhydroxyanisole; butylated hydroxyanisole; hydroxyanisole butyle; hydroxyanisole butylé; e320; 부틸히드록시아니솔; BHA (Butylhydroxyanisole),Ultra toxic,E320
bromate de potassium,bromate de potassium; potassium bromate; bromate; e924; 브롬산칼륨,Ultra toxic,E924
dioxyde de titane,dioxyde de titane; titanium dioxide; e171; 이산화티타늄; 이산화티탄,Ultra toxic,E171
huile vegetale bromee,huile vegetale bromee; huile végétale bromée; brominated vegetable oil; bvo; 브롬화식물성유; 브롬화 식물성유,Ultra toxic,
hydroquinone,hydroquinone,Ultra toxic,
mercure,mercure; mercury; thimerosal,Ultra toxic,
nitrite de sodium,nitrite de sodium; sodium nitrite; nitrate de sodium; sodium nitrate; e250; e251; 아질산나트륨; 질산나트륨,Ultra toxic,E250
plomb,plomb; lead acetate,Ultra toxic,
ppd,ppd; para-phenylenediamine; p-phenylenediamine; PPD (P-Phénylènediamine),Ultra toxic,
propylparaben,propylparaben; propylparabène; propylparabene; propyl paraben; e216; 프로필파라벤; parabene; paraben; methylparaben; ethylparaben; butylparaben; méthylparaben,Ultra toxic,E216
rouge 3,rouge 3; red 3; red no. 3; red no 3; fd&c red 3; fd c red 3; erythrosine; érythrosine; erythrosin; e127; 에리트로신; 적색 3호; 적색3호; fd&c red no. 3; Érythrosine / Red 3,Ultra toxic,E127
rouge 40,rouge 40; red 40; allura red; rouge allura; fd&c red 40; fd c red 40; rouge #40; red #40; e129; 적색 40호; 적색40호; 알루라레드; 알루라 레드; fd&c couleur rouge 40; fd&c couleur rouge #40; Rouge allura / Red 40,Ultra toxic,E129
sulfate de cuivre,sulfate de cuivre; copper sulfate; e519,Ultra toxic,E519
tetraborate de sodium,tetraborate de sodium; tétraborate de sodium; borax; sodium tetraborate; e285,Ultra toxic,E285
"1,4-Dioxane","1,4-Dioxane; 1-4-dioxane",Processed,
2-Butoxyéthanol,2-Butoxyéthanol; 2-butoxyethanol,Processed,
acesulfame,acesulfame; acesulfame k; acesulfame potassium; e950,Processed,E950
acide glutamique,acide glutamique; glutamic acid; e620,Processed,E620
acides gras,acides gras; fatty acids; e570,Processed,E570
acrylamide,acrylamide,Processed,
Alkylphénols éthoxylés (APEO),Alkylphénols éthoxylés (APEO); apeo,Processed,
Aluminium chlorohydrate (déodorants),Aluminium chlorohydrate (déodorants); aluminium-deodorant,Processed,
amidon hydroxypropyl,amidon hydroxypropyl; hydroxypropyl starch; hydroxypropyl distarch phosphate; e1450,Processed,E1450
amidon modifie,amidon modifie; amidon modifié; modified starch; fécule modifiée; fecula modifiee; modified cornstarch; modified corn starch; modified wheat starch; modified rice starch; modified tapioca starch; corn starch modified; amidon de mais oxyde; oxidized starch; e1404,Processed,E1404
annatto,"annatto; rocou; extrait d\; , ; phosphate aluminium sodium; sodium aluminum phosphate; phosphate acide d\; épices; extraits d\; épices; spice extract; spice extracts; oleoresins; sulfate d\; phosphate d\; bicarbonate d ammonium; bicarbonate d\; sirop d\; agave; alginate d\; egcg; catechine; catéchine; catechines; catéchines; catechin; catechins; epigallocatechine; épigallocatéchine; epigallocatechin; epigallocatechin gallate; gallate d\; sulfate de magnesium; sulfate de magnésium; magnesium sulfate; sel d\; saumon d\; élevage; farmed salmon; saumon atlantique d\; élevage; farmed atlantic salmon; saumon norvegien; saumon norvégien; norwegian salmon; saumon ecossais; saumon écossais; scottish salmon; saumon aquaculture; aquaculture; melasse de malt; mélasse de malt; malt molasses; extrait de malt; extrait de malt d\; orge germe; malt d\; sel; salt; sel marin; sel de mer; sea salt; fleur de sel; sel iode; sel iodé; iodized salt; iodised salt; sel iodé fin; sel de table; table salt; sel fin; fine salt; sel rose; pink salt; sel de l\; himalaya; sel himalayen; himalayan salt; himalayan pink salt; sel gemme; rock salt; sel casher; kosher salt; sel gris; grey salt; gray salt; sel de guérande; sel de guerande; sel de cuisine; cooking salt; sel non iodé; sel non iode; non-iodized salt; chlorure de sodium; sodium chloride; huile d\; olive extra vierge; extra virgin olive oil; olive oil; blanc d\; œuf; blancs d\; œufs; egg white; egg whites; albumen; albumine d\; oeuf en poudre; oignon déshydraté; oignon vert déshydraté; dried onion; poudre d\; ail; garlic; oignon; onion; echalote; échalote; shallot; spices; herbes; herbs; fines herbes; assaisonnement; assaisonnements; seasoning; seasonings; melange d epices; mélange d\; érable; maple syrup; sucre d\; erable deshydrate; sirop erable deshydrate; sirop érable déshydraté; dehydrated maple syrup; maple syrup powder; herbes de provence; bouquet garni; persillade; gremolata; chimichurri; Annatto / Rocou; E160",Processed,E160
argent,argent; silver; e174,Processed,E174
arome artificiel,arome artificiel; arôme artificiel; artificial flavor; artificial flavour; artificial flavors; artificial flavours; saveur artificielle; saveurs artificielles; aromes artificiels; arômes artificiels; artificial-flavor,Processed,
arome naturel,arome naturel; arôme naturel; aromes naturels; arômes naturels; natural flavor; natural flavour; natural flavors; natural flavours; arome; arôme; aromes; arômes; flavour; flavor; flavouring; flavoring; natural-flavor,Processed,
aspartame,aspartame; e951,Processed,E951
azorubine,azorubine; carmoisine; rouge azo; e122; Azorubine / Carmoisine,Processed,E122
bleu 1,bleu 1; blue 1; bleu brillant; bleu brillant fcf; brilliant blue; brilliant blue fcf; fd&c blue 1; fd c blue 1; fcf; e133; Bleu brillant / Blue 1,Processed,E133
bleu 2,bleu 2; blue 2; indigotine; indigo carmine; fd&c blue 2; e132; Indigotine / Blue 2,Processed,E132
BPA (Bisphénol A),BPA (Bisphénol A); bpa,Processed,
butane,butane; isobutane; propane; e943a; e943b,Processed,E943
caramel ammoniacal sulfite,caramel ammoniacal sulfite; sulfite ammonia caramel; caramel iv; e150d; caramel ammoniacal; caramel iii; e150c; caramel sulfite caustique; caustic sulfite caramel; caramel ii; e150b; colorant caramel; caramel colour; caramel color; colour caramel; Caramel ammoniaqué sulfite (Caramel IV); E150; Caramel ammoniaqué (III); Caramel de sulfite caustique; caramel-colour; Caramel ordinaire (E150a),Processed,E150
carraghenane,carraghenane; carrageenan; carraghénane; e407; Carraghénane / Carraghénine,Processed,E407
carraghenane degrade,carraghenane degrade; carraghénane dégradé; degraded carrageenan; poligeenan; poligéenane,Processed,
caseinate,caseinate; caseinate de sodium; caséinate; sodium-caseinate,Processed,
charbon vegetal,charbon vegetal; charbon végétal; vegetable carbon; e153,Processed,E153
cire de carnauba,cire de carnauba; carnauba wax; e903,Processed,E903
cmc,cmc; carboxymethylcellulose; e466; CMC / Carboxyméthylcellulose,Processed,E466
concentre de fruits,concentre de fruits; concentré de fruits; concentres de fruits; concentrés de fruits; fruit concentrate; fruit concentrates; concentre de legumes; concentré de légumes; concentres de legumes; concentrés de légumes; vegetable concentrate; vegetable concentrates; concentres de fruits et legumes; concentrés de fruits et légumes,Processed,
cyanocobalamine,cyanocobalamine; cyanocobalamin; vitamine b12; vitamin b12; b12,Processed,
cyclamate,cyclamate; e952,Processed,E952
Cyclopentasiloxane D5,Cyclopentasiloxane D5; cyclosiloxane-d5,Processed,
cyclosiloxane,cyclosiloxane; cyclomethicone; cyclopentasiloxane,Processed,
Cyclotétrasiloxane D4,Cyclotétrasiloxane D4; cyclosiloxane-d4,Processed,
DEA (Diéthanolamine),DEA (Diéthanolamine); dea,Processed,
defatted soy flour,defatted soy flour; soy flour defatted; farine de soja dégraissée,Processed,
dextrine,dextrine,Processed,
dextrose,dextrose,Processed,
Diméthylformamide (DMF),Diméthylformamide (DMF); dmf,Processed,
Eau de Javel (hypochlorite),Eau de Javel (hypochlorite); chlorine-bleach,Processed,
edta,edta; ethylenediaminetetraacetate; éthylènediaminetétraacétate; edta calcium disodique; calcium disodium edta; e385,Processed,E385
fromage fondu,fromage fondu; fromage fondus; fromages fondus; processed cheese; cheese product; fromage transforme; fromage transformé; preparation fromagere; préparation fromagère,Processed,
fructose,fructose,Processed,
fumee naturelle,fumee naturelle; fumée naturelle; natural smoke; fumee; fumée; smoke flavor; smoke flavoring; arome de fumee; arôme de fumée,Processed,
glucose,glucose; glucose ajoute; glucose ajouté; added glucose; dextrose glucose,Processed,
glyphosate,glyphosate,Processed,
graisse interesterifiee,graisse interesterifiee; interesterified; graisse interestérifiée,Processed,
gras trans,gras trans; trans fat; acides gras trans,Processed,
hijiki,hijiki,Processed,
huile de coco modifiee,huile de coco modifiee; huile de coco modifiée; modified coconut oil; huile de noix de coco modifiee; huile de noix de coco modifiée; modified coconut fat; matiere grasse de coco modifiee; matière grasse de coco modifiée; huile de coco hydrogenee; huile de coco hydrogénée; hydrogenated coconut oil; huile de coco fractionnee; huile de coco fractionnée; fractionated coconut oil; huile de coco interesterifiee; huile de coco interestérifiée,Processed,
huile de colza,huile de colza; canola oil; rapeseed oil; huile de canola,Processed,
huile de coton,huile de coton; cottonseed oil; cottonseed-oil,Processed,
huile de mais,huile de mais; corn oil; huile de maïs; corn-oil,Processed,
